Twitter
twitter,353
be,98
day,84
tweet,81
world,80
see,75
today,74
lovetwitter,72
time,55
watch,47
birthday,45
share,40
tnf,40
get,39
thank,38
way,33
youre,32
year,31
game,31
video,29
watch,28
moment,25
timeline,25
week,25
make,25
love,25
tonight,25
life,24
take,24
look,23
love,22
night,21
amp,21
rio2016,20
action,20
follow,20
heart,19
keep,19
do,19
catch,18
tap,18
party,18
go,18
conversation,18
everyone,18
thing,18
have,17
tomorrow,17
tweet,17
gifparty,17
team,16
dont,16
yearontwitter,15
traveltuesday,15
carpet,15
home,15
say,14
twitter,14
gif,14
help,14
coverage,14
thursday,14
message,13
tv,13
tune,13
emojis,13
community,12
qampa,12
send,12
half,12
know,12
debate,12
fun,12
explore,12
photo,11
space,11
reply,11
kind,11
news,11
web,11
join,11
everything,11
button,10
hear,10
lot,10
support,10
periscopeco,10
story,10
periscope,10
glad,10
weve,10
give,10
hey,10
experience,9
i,9
read,9
iphone,9
right,9
view,9
w,9
